4 28.5471
4 0.045022
4 0.040122 asm
4 0.473045 asm
4 0.028404 asm
4 0.026938 asm
4 325.449 asm
4 0.021552 asm
4 0.085986 asm
4 0.065922 asm
4 0.024651 asm
4 0.018939 asm
4 0.007433 asm
4 0.018298 asm
16 0.037701 asm
16 0.029995 asm
16 0.040898 asm
16 0.031865 asm
16 0.006591 asm
16 0.027434 asm
16 0.012602 asm
1 0.027859 asm
1 0.02595 asm
1 0.05109 asm
1 0.0344 asm
2 0.043099 asm
4 0.062344 asm
8 0.030763 asm
32 0.074095 asm
32 0.098614 asm
4 0.02735 asm
2 74596.1 asm
2 74742.5 asm
2 7.52794e+10 asm
400 0.0749771 asm
400 0.0749657 asm
400 0.0750913 asm
800 0.0759482 asm
2 0.034175 asm
2 0.025154 asm
4 0.072151 asm
4 0.083565 asm
4 0.205257 c
4 0.04796 c
1 0.076512 c
4 3.15342 c
1 7.5184 c
2 4.11425 c
8 2.60096 c
4 1.04866 asm
4 4.0864 asm
4 4.45396 asm
8 3.74417 asm
16 3.61521 asm
1 9.66676 asm
2 5.54103 asm
3 5.68379 asm
7 4.04653 asm
